מתמטיקה
[[:משפט החיתוך של קנטור]]	משפט החיתוך של קנטור
[[:הלמה של קנטור]]	הלמה של קנטור
[[:תורת האוטומטים - מונחים]]	תורת האוטומטים - מונחים
[[:חיים אבירי]]	חיים אבירי
[[:נקודת מרכז]]	נקודת מרכז
[[:תיקון שפרד]]	תיקון שפרד
&rlm;[[:הגבול של sin(x)/x]]&rlm;	הגבול של sin(x)/x
[[:דב ירדן]]	דב ירדן
[[:משה אנסהיים]]	משה אנסהיים
[[:הרחבה רדיקלית]]	הרחבה רדיקלית
[[:משחק מאוזן]]	משחק מאוזן
[[:פונקציית תועלת]]	פונקציית תועלת
