פירושונים
[[:אלכסנדר דיומא]]	אלכסנדר דיומא
[[:מקלדת]]	מקלדת
[[:מדיה]]	מדיה
[[:פובוס]]	פובוס
[[:סגי נהור (פירושונים)]]	סגי נהור (פירושונים)
[[:עיטור]]	עיטור
[[:מהפך]]	מהפך
[[:מוטיב]]	מוטיב
[[:צבר]]	צבר
[[:וקטור]]	וקטור
[[:מונטיפיורי]]	מונטיפיורי
[[:שרייק]]	שרייק
&rlm;[[:פנטסיה 2000]]&rlm;	פנטסיה 2000
[[:מע"ר]]	מע"ר
[[:טראנס]]	טראנס
[[:בן ג'ונסון]]	בן ג'ונסון
[[:חצור]]	חצור
[[:ניו יורק (פירושונים)]]	ניו יורק (פירושונים)
[[:סולו]]	סולו
[[:בס]]	בס
[[:חירות]]	חירות
&rlm;[[:CO]]&rlm;	CO
[[:אדם (פירושונים)]]	אדם (פירושונים)
[[:טאבו]]	טאבו
[[:מטרופולין (פירושונים)]]	מטרופולין (פירושונים)
[[:אורקל (פירושונים)]]	אורקל (פירושונים)
[[:אוטומט]]	אוטומט
[[:בופ]]	בופ
[[:רגל (פירושונים)]]	רגל (פירושונים)
[[:פרמה]]	פרמה
[[:פרום]]	פרום
[[:וולפרם]]	וולפרם
[[:מרקורי]]	מרקורי
[[:פוך]]	פוך
[[:מוצא האדם]]	מוצא האדם
[[:אייקון]]	אייקון
[[:אלכוהול]]	אלכוהול
[[:ברה"מ]]	ברה"מ
[[:מזרחי]]	מזרחי
[[:סדר]]	סדר
[[:כדור]]	כדור
[[:רייך]]	רייך
[[:בית הדין הבינלאומי]]	בית הדין הבינלאומי
[[:רשת]]	רשת
[[:קרס]]	קרס
[[:שקילות]]	שקילות
[[:חג האהבה]]	חג האהבה
[[:גבעתי]]	גבעתי
[[:אלף]]	אלף
[[:דיקטטור (פירושונים)]]	דיקטטור (פירושונים)
[[:מירנדה]]	מירנדה
[[:רדיוס (פירושונים)]]	רדיוס (פירושונים)
[[:חיפושית]]	חיפושית
[[:אבן]]	אבן
[[:כארון (פירושונים)]]	כארון (פירושונים)
[[:לילית]]	לילית
[[:אבן תיבון]]	אבן תיבון
[[:מעגל אוילר]]	מעגל אוילר
[[:ברצלונה (פירושונים)]]	ברצלונה (פירושונים)
[[:אדום (פירושונים)]]	אדום (פירושונים)
[[:פחם (פירושונים)]]	פחם (פירושונים)
[[:טוקנטינס]]	טוקנטינס
[[:סן פרנסיסקו (פירושונים)]]	סן פרנסיסקו (פירושונים)
[[:פרנה]]	פרנה
[[:פארה (פירושונים)]]	פארה (פירושונים)
[[:ריו ברנקו]]	ריו ברנקו
[[:מייפל]]	מייפל
[[:אוטוגרף]]	אוטוגרף
[[:שמואל (פירושונים)]]	שמואל (פירושונים)
[[:זכריה]]	זכריה
[[:הושע]]	הושע
[[:תבלינים]]	תבלינים
[[:אביהו]]	אביהו
[[:פאלאס (פירושונים)]]	פאלאס (פירושונים)
[[:פוסט]]	פוסט
[[:שורש]]	שורש
[[:פולארד]]	פולארד
[[:שיח (פירושונים)]]	שיח (פירושונים)
[[:חום]]	חום
[[:איוואן האיום (פירושונים)]]	איוואן האיום (פירושונים)
[[:פלסטין]]	פלסטין
[[:אלף בית]]	אלף בית
[[:אינטגרציה]]	אינטגרציה
[[:אינטרנציונל]]	אינטרנציונל
[[:האינקוויזיציה]]	האינקוויזיציה
[[:אולימפיאדת אתונה]]	אולימפיאדת אתונה
[[:אל-אקצא]]	אל-אקצא
&rlm;[[:21 (פירושונים)]]&rlm;	21 (פירושונים)
[[:אלנבי (פירושונים)]]	אלנבי (פירושונים)
[[:אמנון]]	אמנון
[[:אמנסטי]]	אמנסטי
[[:אימוץ (פירושונים)]]	אימוץ (פירושונים)
[[:אלכסנדר הראשון]]	אלכסנדר הראשון
[[:ש"ס]]	ש"ס
[[:רבי]]	רבי
[[:סאקי]]	סאקי
[[:תור הזהב]]	תור הזהב
[[:רע"מ]]	רע"מ
[[:לאו]]	לאו
[[:אריסטובולוס]]	אריסטובולוס
[[:מחרוזת]]	מחרוזת
[[:בוק]]	בוק
[[:רב כהנא]]	רב כהנא
[[:תמר]]	תמר
[[:אמת (פירושונים)]]	אמת (פירושונים)
&rlm;[[:DDR]]&rlm;	DDR
[[:אקסון]]	אקסון
[[:מינור]]	מינור
[[:לוקוס]]	לוקוס
[[:אמייל]]	אמייל
[[:ג'ון נאש]]	ג'ון נאש
[[:אא"ג]]	אא"ג
[[:סינוס]]	סינוס
[[:אתר]]	אתר
[[:פסל]]	פסל
[[:יהודה]]	יהודה
[[:אנטיוכוס]]	אנטיוכוס
[[:בוקסר]]	בוקסר
[[:קומודור]]	קומודור
[[:קבוצה]]	קבוצה
[[:בוסניה]]	בוסניה
[[:מתנגדים]]	מתנגדים
[[:ביסמרק (פירושונים)]]	ביסמרק (פירושונים)
