ביטויים
[[:טובל ושרץ בידו]]	טובל ושרץ בידו
[[:נאה דורש נאה מקיים]]	נאה דורש נאה מקיים
[[:צ'חצ'ח]]	צ'חצ'ח
[[:פקצה]]	פקצה
[[:הטובים לטיס]]	הטובים לטיס
[[:העיניים של המדינה]]	העיניים של המדינה
[[:חלקת אלוהים הקטנה (ביטוי)]]	חלקת אלוהים הקטנה (ביטוי)
[[:אל יתהלל חוגר כמפתח]]	אל יתהלל חוגר כמפתח
[[:בלגן]]	בלגן
[[:טב למיתב טן דו מלמיתב ארמלו]]	טב למיתב טן דו מלמיתב ארמלו
[[:נבל ברשות התורה]]	נבל ברשות התורה
[[:כיהודה ועוד לקרא]]	כיהודה ועוד לקרא
