ספרים לועזיים
[[:תסמונת האיטר]]	תסמונת האיטר
[[:גופו של עניין]]	גופו של עניין
[[:ביבי (ספר ילדים)]]	ביבי (ספר ילדים)
[[:פער הידיעה-עשייה (ספר)]]	פער הידיעה-עשייה (ספר)
[[:רוח הטרור]]	רוח הטרור
[[:אבדן הילדות]]	אבדן הילדות
[[:אני לומד גרמנית]]	אני לומד גרמנית
[[:כוכב הצוענים]]	כוכב הצוענים
[[:שבעת הספרים של דיאנה]]	שבעת הספרים של דיאנה
[[:הגזענות (ספר)]]	הגזענות (ספר)
[[:כף-דבש]]	כף-דבש
[[:אהבת הפירט]]	אהבת הפירט
[[:מסע הדג]]	מסע הדג
[[:אי הילדים]]	אי הילדים
[[:פשפש הנשפים]]	פשפש הנשפים
