יידיש
[[:חנן אילתי]]	חנן אילתי
[[:ישראל ראבון]]	ישראל ראבון
[[:מנחם בורישו]]	מנחם בורישו
[[:אבא גורדין]]	אבא גורדין
[[:זבולון זליג בלבן]]	זבולון זליג בלבן
[[:שפרה ורבר]]	שפרה ורבר
[[:יחזקאל דוברושין]]	יחזקאל דוברושין
[[:משה דוד גיסר]]	משה דוד גיסר
[[:נח גורליק]]	נח גורליק
[[:מנחם מנדל דוליצקי]]	מנחם מנדל דוליצקי
[[:דער פריינד]]	דער פריינד
[[:קטגוריה:מתרגמים מיידיש לעברית]]	מתרגמים מיידיש לעברית
[[:קטגוריה:מתרגמים מעברית ליידיש]]	מתרגמים מעברית ליידיש
